Reading pref.tcl
# UVM_INFO UVM/my_case0.sv(37) @ 3100000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 3100000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 3100000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 4050000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 4350000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 4350000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 4350000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 4350000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 4350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=2 data=0xd
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 4350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=2 data=0xd
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 4500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=2 data=0xd
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 4700000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=2 data=0xd
# UVM_INFO UVM/my_case0.sv(37) @ 4700000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 4700000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 4700000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 5850000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 6150000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 6150000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 6150000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 6150000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 6150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=3 data=0xb1
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 6150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=3 data=0xb1
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 6300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=3 data=0xb1
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 6500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=3 data=0xb1
# UVM_INFO UVM/my_case0.sv(37) @ 6500000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 6500000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 6500000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 7650000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 7950000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 7950000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 7950000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 7950000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 7950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=4 data=0x15
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 7950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=4 data=0x15
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 8100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=4 data=0x15
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 8300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=4 data=0x15
# UVM_INFO UVM/my_case0.sv(37) @ 8300000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 8300000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 8300000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 9450000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 9750000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 9750000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 9750000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 9750000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 9750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=5 data=0xd6
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 9750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=5 data=0xd6
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 9900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=5 data=0xd6
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 10100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=5 data=0xd6
# UVM_INFO UVM/my_case0.sv(37) @ 10100000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 10100000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 10100000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 11250000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 11550000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 11550000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 11550000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 11550000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 11550000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=6 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 11550000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=6 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 11700000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=6 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 11900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=6 data=0xe3
# UVM_INFO UVM/my_case0.sv(37) @ 11900000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 11900000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 11900000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 13050000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 13350000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 13350000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 13350000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 13350000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 13350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=7 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 13350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=7 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 13500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=7 data=0xe3
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 13700000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=7 data=0xe3
# UVM_INFO UVM/my_case0.sv(37) @ 13700000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 13700000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 13700000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 14850000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 15150000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 15150000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 15150000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 15150000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 15150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=8 data=0x5f
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 15150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=8 data=0x5f
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 15300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=8 data=0x5f
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 15500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=8 data=0x5f
# UVM_INFO UVM/my_case0.sv(37) @ 15500000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 15500000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 15500000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 16650000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 16950000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 16950000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 16950000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 16950000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 16950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=9 data=0x5a
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 16950000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=9 data=0x5a
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 17100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=9 data=0x5a
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 17300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=9 data=0x5a
# UVM_INFO UVM/my_case0.sv(37) @ 17300000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 17300000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 17300000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 18450000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 18750000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 18750000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 18750000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 18750000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 18750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=10 data=0x49
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 18750000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=10 data=0x49
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 18900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=10 data=0x49
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 19100000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=10 data=0x49
# UVM_INFO UVM/my_case0.sv(37) @ 19100000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 19100000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 19100000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 20250000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 20550000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 20550000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 20550000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 20550000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 20550000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=11 data=0xfa
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 20550000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=11 data=0xfa
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 20700000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=11 data=0xfa
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 20900000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=11 data=0xfa
# UVM_INFO UVM/my_case0.sv(37) @ 20900000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 20900000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 20900000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 22050000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 22350000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 22350000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 22350000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 22350000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 22350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=12 data=0x21
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 22350000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=12 data=0x21
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 22500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=12 data=0x21
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 22700000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=12 data=0x21
# UVM_INFO UVM/my_case0.sv(37) @ 22700000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
# UVM_INFO UVM/read_fifo_driver.sv(58) @ 22700000: uvm_test_top.env.o_agt.drv [READ_DRV] Received READ transaction from sequencer
# UVM_INFO UVM/read_fifo_driver.sv(85) @ 22700000: uvm_test_top.env.o_agt.drv [READ_DRV] Attempting read operation
# UVM_INFO UVM/read_fifo_driver.sv(111) @ 23850000: uvm_test_top.env.o_agt.drv [READ_DRV] FIFO not empty, asserting rinc
# UVM_INFO UVM/read_fifo_driver.sv(122) @ 24150000: uvm_test_top.env.o_agt.drv [READ_DRV] Read pulse asserted
# UVM_INFO UVM/read_fifo_driver.sv(66) @ 24150000: uvm_test_top.env.o_agt.drv [READ_DRV] Completed READ transaction
# UVM_INFO UVM/read_fifo_seq.sv(30) @ 24150000: uvm_test_top.env.o_agt.sqr@@my_case0_sequence.rd_seq [read_fifo_seq] Issued one READ transaction
# UVM_INFO UVM/my_case0.sv(40) @ 24150000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] READ requested one item
# UVM_INFO UVM/write_fifo_driver.sv(66) @ 24150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Received WRITE transaction: tx_id=13 data=0x7f
# UVM_INFO UVM/write_fifo_driver.sv(101) @ 24150000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Attempting WRITE: tx_id=13 data=0x7f
# UVM_INFO UVM/write_fifo_driver.sv(125) @ 24300000: uvm_test_top.env.i_agt.drv [WRITE_DRV] WRITE accepted by DUT: tx_id=13 data=0x7f
# UVM_INFO UVM/write_fifo_driver.sv(75) @ 24500000: uvm_test_top.env.i_agt.drv [WRITE_DRV] Completed WRITE transaction: tx_id=13 data=0x7f
# UVM_INFO UVM/my_case0.sv(37) @ 24500000: uvm_test_top.env.m_vseqr@@my_case0_sequence [my_case0] WRITE sent one item
